Wall time,Step,Value
1555688279.774593,6000,319.0
1555688342.5533583,19000,377.0
1555688371.5134945,25000,366.0
1555688448.7713983,41000,365.0
1555688458.4275887,43000,397.0
1555688472.9449236,46000,409.0
1555688511.6557357,54000,414.0
1555688526.1917396,57000,423.0
1555688599.5110252,72000,394.0
1555688614.0770898,75000,421.0
1555688711.422062,95000,442.0
1555688750.4395761,103000,380.0
1555688769.9383712,107000,445.0
1555688867.7626543,127000,406.0
1555688931.5977168,140000,401.0
1555688985.6904044,151000,357.0
1555689010.259251,156000,374.0
1555689024.9784474,159000,447.0
1555689069.1259115,168000,369.0
1555689123.1711836,179000,454.0
1555689147.8460872,184000,475.0
1555689157.6708286,186000,383.0
1555689162.587204,187000,472.0
1555689182.3388972,191000,447.0
1555689221.6286952,199000,434.0
1555689265.9808474,208000,436.0
1555689290.7418249,213000,364.0
1555689345.0425246,224000,467.0
1555689374.677109,230000,442.0
1555689399.36603,235000,506.0
1555689473.525618,250000,397.0
1555689503.3044417,256000,479.0
1555689528.121694,261000,409.0
1555689562.7538104,268000,414.0
1555689582.7130146,272000,505.0
1555689592.6281807,274000,436.0
1555689687.761408,293000,426.0
1555689712.6821928,298000,458.0
1555689742.6651876,304000,484.0
1555689767.6257582,309000,463.0
1555689777.6550758,311000,419.0
1555689817.362508,319000,460.0
1555689877.232784,331000,489.0
1555689922.0692377,340000,438.0
1555689962.043454,348000,417.0
1555690042.2611642,364000,493.0
1555690062.2249434,368000,508.0
1555690112.6000106,378000,371.0
1555690334.9961,422000,552.0
1555690340.0531974,423000,445.0
1555690427.0141625,440000,474.0
1555690437.1705058,442000,482.0
1555690442.1823275,443000,529.0
1555690457.251606,446000,477.0
1555690533.0342574,461000,533.0
1555690548.0776975,464000,453.0
1555690553.1080692,465000,444.0
1555690603.5481079,475000,487.0
1555690689.843568,492000,429.0
1555690699.9872806,494000,458.0
1555690796.4877868,513000,483.0
1555690806.610243,515000,505.0
1555690821.795576,518000,511.0
1555690862.422531,526000,570.0
1555690892.9123516,532000,456.0
1555690903.0191612,534000,459.0
1555690918.167073,537000,501.0
1555690948.6488817,543000,516.0
1555690973.892163,548000,490.0
1555691024.814039,558000,491.0
1555691056.0789328,564000,484.0
1555691086.6488295,570000,518.0
1555691106.988196,574000,420.0
1555691137.4322205,580000,513.0
1555691147.6406186,582000,508.0
1555691173.008465,587000,543.0
1555691178.083349,588000,526.0
1555691208.6563907,594000,447.0
1555691254.247219,603000,441.0
1555691345.6723442,621000,460.0
1555691355.7947574,623000,581.0
1555691416.6566594,635000,495.0
1555691452.3355725,642000,561.0
1555691457.399273,643000,519.0
1555691467.5400562,645000,528.0
1555691482.7362478,648000,518.0
1555691492.9350398,650000,485.0
1555691554.223526,662000,484.0
1555691569.548166,665000,480.0
1555691589.9047534,669000,482.0
1555691605.375974,672000,477.0
1555691620.598679,675000,554.0
1555691641.561582,679000,572.0
1555691646.7519238,680000,533.0
1555691667.1324492,684000,479.0
1555691692.4268875,689000,465.0
1555691825.2968316,715000,456.0
1555691845.6505346,719000,551.0
1555691866.3635855,723000,510.0
1555691871.4518447,724000,457.0
1555691907.3731523,731000,407.0
1555691953.2746,740000,512.0
1555691973.8095167,744000,513.0
1555691994.1620984,748000,592.0
1555692019.9306345,753000,576.0
1555692040.4817116,757000,530.0
1555692086.5400972,766000,481.0
1555692106.9646723,770000,532.0
1555692112.1412473,771000,503.0
1555692117.989369,772000,553.0
1555692128.1800945,774000,484.0
1555692133.2959466,775000,517.0
1555692164.0781636,781000,547.0
1555692189.503627,786000,530.0
1555692199.6624546,788000,557.0
1555692225.3430007,793000,555.0
1555692230.414797,794000,498.0
1555692235.5049853,795000,578.0
1555692255.8274376,799000,436.0
1555692276.426111,803000,520.0
1555692301.885056,808000,548.0
1555692306.9750443,809000,559.0
1555692312.2109644,810000,499.0
1555692430.2639105,833000,550.0
1555692450.6920817,837000,559.0
1555692620.6426032,870000,543.0
1555692646.4809468,875000,547.0
1555692656.7592077,877000,520.0
1555692688.657459,883000,514.0
1555692730.0824485,891000,457.0
1555692760.801242,897000,555.0
1555692781.5681403,901000,496.0
1555692817.4478493,908000,603.0
1555692827.8243353,910000,562.0
1555692858.7663395,916000,558.0
1555692869.0617502,918000,509.0
1555692941.5445318,932000,517.0
1555692946.673663,933000,523.0
1555692998.4636986,943000,578.0
1555693013.9185421,946000,544.0
1555693060.6592429,955000,498.0
1555693081.2577176,959000,585.0
1555693102.9498935,963000,587.0
1555693149.5847108,972000,514.0
1555693154.7418187,973000,536.0
1555693185.6696553,979000,565.0
1555693190.9742637,980000,557.0
1555693216.93195,985000,596.0
1555693279.3652294,997000,548.0
1555693310.8490508,1003000,472.0
1555693326.3843102,1006000,567.0
1555693373.3808084,1015000,615.0
1555693388.93326,1018000,500.0
1555693430.7622643,1026000,562.0
1555693493.725051,1038000,573.0
1555693531.5067768,1045000,532.0
1555693599.4798093,1058000,568.0
1555693630.9667265,1064000,575.0
1555693646.6066818,1067000,552.0
1555693657.030754,1069000,603.0
1555693678.3562021,1073000,510.0
1555693699.2635558,1077000,635.0
1555693709.7573874,1079000,541.0
1555693736.0821078,1084000,655.0
1555693741.2750528,1085000,536.0
1555693788.4142203,1094000,547.0
1555693819.835794,1100000,580.0
1555693840.8564804,1104000,567.0
1555693846.0528164,1105000,547.0
1555693898.6058218,1115000,537.0
1555693925.6255035,1120000,564.0
1555693999.2709906,1134000,642.0
1555694114.4772336,1156000,540.0
1555694119.6569443,1157000,588.0
1555694140.7263763,1161000,619.0
1555694145.9761007,1162000,644.0
1555694151.187223,1163000,587.0
1555694246.626207,1181000,532.0
1555694309.684355,1193000,598.0
1555694314.9173534,1194000,611.0
1555694346.4507198,1200000,533.0
1555694357.128431,1202000,621.0
1555694383.344419,1207000,589.0
1555694520.434276,1233000,578.0
1555694530.8782678,1235000,520.0
1555694583.3676145,1245000,544.0
1555694641.7898304,1256000,584.0
1555694657.3791795,1259000,577.0
1555694673.389286,1262000,605.0
1555694778.6731584,1282000,527.0
1555694810.0162296,1288000,602.0
1555694847.0440824,1295000,569.0
1555694878.959434,1301000,591.0
1555694932.6221225,1311000,604.0
1555694964.036436,1317000,576.0
1555694980.0034337,1320000,586.0
1555695022.3552575,1328000,597.0
1555695038.6372917,1331000,615.0
1555695054.366912,1334000,592.0
1555695070.0844147,1337000,582.0
1555695075.3392346,1338000,602.0
1555695170.7934427,1356000,587.0
1555695251.6281173,1371000,592.0
1555695331.4362545,1386000,549.0
1555695347.3037565,1389000,575.0
1555695352.8712444,1390000,625.0
1555695363.660461,1392000,567.0
1555695368.9083793,1393000,591.0
1555695485.9207876,1415000,588.0
1555695512.6763163,1420000,553.0
1555695528.7590163,1423000,615.0
1555695550.8761837,1427000,657.0
1555695561.388692,1429000,570.0
1555695583.1287892,1433000,592.0
1555695604.394073,1437000,578.0
1555695626.3298125,1441000,594.0
1555695759.6827369,1466000,608.0
1555695764.9640949,1467000,604.0
1555695824.7411888,1478000,578.0
1555695867.5184128,1486000,645.0
1555695872.8471131,1487000,575.0
1555695888.9751737,1490000,636.0
1555695899.8484952,1492000,600.0
1555695953.2401235,1502000,554.0
1555695990.3652353,1509000,632.0
1555696070.9034493,1524000,625.0
1555696076.1996684,1525000,614.0
1555696092.0989518,1528000,622.0
1555696221.6759422,1552000,638.0
1555696226.9990613,1553000,584.0
1555696237.5998707,1555000,622.0
1555696312.6445053,1569000,637.0
1555696318.2712226,1570000,641.0
1555696366.388464,1579000,630.0
1555696398.7889,1585000,643.0
1555696420.002912,1589000,607.0
1555696469.339462,1598000,564.0
1555696507.0808237,1605000,606.0
1555696512.396992,1606000,667.0
1555696539.485091,1611000,599.0
1555696581.796578,1619000,594.0
1555696630.0497055,1628000,606.0
1555696657.2104743,1633000,645.0
1555696683.8504813,1638000,625.0
1555696701.4012194,1641000,679.0
1555696727.8966203,1646000,619.0
1555696743.7765832,1649000,635.0
1555696765.6019826,1653000,655.0
1555696808.760789,1661000,666.0
1555696851.365541,1669000,682.0
1555696889.352887,1676000,658.0
1555696927.2751763,1683000,637.0
1555696976.9074447,1692000,682.0
1555696998.108655,1696000,660.0
1555697003.4196153,1697000,680.0
1555697008.715944,1698000,658.0
1555697019.6396976,1700000,640.0
1555697035.7980995,1703000,666.0
